시군구,경제활동참가율
강원도 강릉시,0.607
강원도 고성군,0.713
강원도 동해시,0.608
강원도 삼척시,0.617
강원도 속초시,0.618
강원도 양구군,0.718
강원도 양양군,0.682
강원도 영월군,0.721
강원도 원주시,0.624
강원도 인제군,0.732
강원도 정선군,0.717
강원도 철원군,0.661
강원도 춘천시,0.607
강원도 태백시,0.66
강원도 평창군,0.698
강원도 홍천군,0.717
강원도 화천군,0.739
강원도 횡성군,0.692
경기도 가평군,0.625
경기도 고양시,0.626
경기도 과천시,0.605
경기도 광명시,0.61
경기도 광주시,0.675
경기도 구리시,0.631
경기도 군포시,0.625
경기도 김포시,0.637
경기도 남양주시,0.614
경기도 동두천시,0.584
경기도 부천시,0.625
경기도 성남시,0.637
경기도 수원시,0.646
경기도 시흥시,0.67
경기도 안산시,0.652
경기도 안성시,0.655
경기도 안양시,0.613
경기도 양주시,0.608
경기도 양평군,0.574
경기도 여주시,0.629
경기도 연천군,0.635
경기도 오산시,0.668
경기도 용인시,0.614
경기도 의왕시,0.6
경기도 의정부시,0.608
경기도 이천시,0.667
경기도 파주시,0.619
경기도 평택시,0.666
경기도 포천시,0.635
경기도 하남시,0.63
경기도 화성시,0.689
경상남도 거제시,0.632
경상남도 거창군,0.686
경상남도 고성군,0.671
경상남도 김해시,0.63
경상남도 남해군,0.693
경상남도 밀양시,0.613
경상남도 사천시,0.654
경상남도 산청군,0.734
경상남도 양산시,0.595
경상남도 의령군,0.697
경상남도 진주시,0.628
경상남도 창녕군,0.657
경상남도 창원시,0.625
경상남도 통영시,0.582
경상남도 하동군,0.73
경상남도 함안군,0.63
경상남도 함양군,0.699
경상남도 합천군,0.704
경상북도 경산시,0.605
경상북도 경주시,0.619
경상북도 고령군,0.664
경상북도 구미시,0.637
경상북도 군위군,0.723
경상북도 김천시,0.658
경상북도 문경시,0.651
경상북도 봉화군,0.764
경상북도 상주시,0.683
경상북도 성주군,0.677
경상북도 안동시,0.618
경상북도 영덕군,0.636
경상북도 영양군,0.777
경상북도 영주시,0.627
경상북도 영천시,0.677
경상북도 예천군,0.661
경상북도 울릉군,0.813
경상북도 울진군,0.635
경상북도 의성군,0.734
경상북도 청도군,0.739
경상북도 청송군,0.818
경상북도 칠곡군,0.634
경상북도 포항시,0.607
광주광역시 광산구,0.644
광주광역시 남구,0.606
광주광역시 동구,0.577
광주광역시 북구,0.562
광주광역시 서구,0.597
대구광역시 남구,0.533
대구광역시 달서구,0.571
대구광역시 달성군,0.645
대구광역시 동구,0.566
대구광역시 북구,0.581
대구광역시 서구,0.537
대구광역시 수성구,0.54
대구광역시 중구,0.6
대전광역시 대덕구,0.611
대전광역시 동구,0.546
대전광역시 서구,0.622
대전광역시 유성구,0.65
대전광역시 중구,0.592
부산광역시 강서구,0.678
부산광역시 금정구,0.536
부산광역시 기장군,0.598
부산광역시 남구,0.545
부산광역시 동구,0.546
부산광역시 동래구,0.564
부산광역시 부산진구,0.576
부산광역시 북구,0.567
부산광역시 사상구,0.583
부산광역시 사하구,0.569
부산광역시 서구,0.54
부산광역시 수영구,0.559
부산광역시 연제구,0.571
부산광역시 영도구,0.527
부산광역시 중구,0.573
부산광역시 해운대구,0.552
서울특별시 강남구,0.583
서울특별시 강동구,0.633
서울특별시 강북구,0.569
서울특별시 강서구,0.626
서울특별시 관악구,0.616
서울특별시 광진구,0.614
서울특별시 구로구,0.645
서울특별시 금천구,0.655
서울특별시 노원구,0.586
서울특별시 도봉구,0.588
서울특별시 동대문구,0.531
서울특별시 동작구,0.598
서울특별시 마포구,0.627
서울특별시 서대문구,0.582
서울특별시 서초구,0.607
서울특별시 성동구,0.62
서울특별시 성북구,0.571
서울특별시 송파구,0.607
서울특별시 양천구,0.603
서울특별시 영등포구,0.647
서울특별시 용산구,0.62
서울특별시 은평구,0.589
서울특별시 종로구,0.545
서울특별시 중구,0.599
서울특별시 중랑구,0.603
세종특별자치도,0.651
울산광역시 남구,0.614
울산광역시 동구,0.598
울산광역시 북구,0.627
울산광역시 울주군,0.598
울산광역시 중구,0.575
인천광역시 강화군,0.659
인천광역시 계양구,0.657
인천광역시 남동구,0.627
인천광역시 동구,0.583
인천광역시 미추홀구,0.641
인천광역시 부평구,0.64
인천광역시 서구,0.671
인천광역시 연수구,0.622
인천광역시 옹진군,0.773
인천광역시 중구,0.641
전라남도 강진군,0.688
전라남도 고흥군,0.733
전라남도 곡성군,0.688
전라남도 광양시,0.683
전라남도 구례군,0.734
전라남도 나주시,0.66
전라남도 담양군,0.662
전라남도 목포시,0.592
전라남도 무안군,0.642
전라남도 보성군,0.747
전라남도 순천시,0.647
전라남도 신안군,0.786
전라남도 여수시,0.638
전라남도 영광군,0.674
전라남도 영암군,0.719
전라남도 완도군,0.703
전라남도 장성군,0.677
전라남도 장흥군,0.735
전라남도 진도군,0.765
전라남도 함평군,0.701
전라남도 해남군,0.711
전라남도 화순군,0.671
전라북도 고창군,0.702
전라북도 군산시,0.577
전라북도 김제시,0.662
전라북도 남원시,0.674
전라북도 무주군,0.752
전라북도 부안군,0.725
전라북도 순창군,0.718
전라북도 완주군,0.656
전라북도 익산시,0.607
전라북도 임실군,0.722
전라북도 장수군,0.771
전라북도 전주시,0.612
전라북도 정읍시,0.666
전라북도 진안군,0.745
제주특별자치도 서귀포시,0.749
제주특별자치도 제주시,0.706
충청남도 계룡시,0.554
충청남도 공주시,0.619
충청남도 금산군,0.643
충청남도 논산시,0.624
충청남도 당진시,0.71
충청남도 보령시,0.634
충청남도 부여군,0.665
충청남도 서산시,0.709
충청남도 서천군,0.692
충청남도 아산시,0.661
충청남도 예산군,0.707
충청남도 천안시,0.661
충청남도 청양군,0.764
충청남도 태안군,0.72
충청남도 홍성군,0.695
충청북도 괴산군,0.673
충청북도 단양군,0.682
충청북도 보은군,0.692
충청북도 영동군,0.647
충청북도 옥천군,0.669
충청북도 음성군,0.734
충청북도 제천시,0.633
충청북도 증평군,0.661
충청북도 진천군,0.716
충청북도 청주시,0.659
충청북도 충주시,0.651
