시군구,소득수준
강원특별자치도 강릉시,34808
강원특별자치도 고성군,31773
강원특별자치도 동해시,35084
강원특별자치도 삼척시,33515
강원특별자치도 속초시,34432
강원특별자치도 양구군,34588
강원특별자치도 양양군,33142
강원특별자치도 영월군,33172
강원특별자치도 원주시,36054
강원특별자치도 인제군,34485
강원특별자치도 정선군,33550
강원특별자치도 철원군,34293
강원특별자치도 춘천시,35466
강원특별자치도 태백시,34429
강원특별자치도 평창군,33645
강원특별자치도 홍천군,33673
강원특별자치도 화천군,33350
강원특별자치도 횡성군,33166
경기도 가평군,33756
경기도 고양시,120419
경기도 과천시,49748
경기도 광명시,38492
경기도 광주시,36392
경기도 구리시,37659
경기도 군포시,37770
경기도 김포시,38904
경기도 남양주시,37199
경기도 동두천시,32077
경기도 부천시,105315
경기도 성남시,123703
경기도 수원시,156822
경기도 시흥시,35623
경기도 안산시,68035
경기도 안성시,34534
경기도 안양시,78450
경기도 양주시,33987
경기도 양평군,36388
경기도 여주시,34522
경기도 연천군,33767
경기도 오산시,37230
경기도 용인시,126848
경기도 의왕시,40536
경기도 의정부시,34700
경기도 이천시,37790
경기도 파주시,37411
경기도 평택시,37539
경기도 포천시,32476
경기도 하남시,41947
경기도 화성시,42496
경상남도 거제시,38816
경상남도 거창군,33864
경상남도 고성군,33318
경상남도 김해시,36283
경상남도 남해군,31812
경상남도 밀양시,33083
경상남도 사천시,35156
경상남도 산청군,32673
경상남도 양산시,35726
경상남도 의령군,32591
경상남도 진주시,36492
경상남도 창녕군,32884
경상남도 창원시,183867
경상남도 통영시,33836
경상남도 하동군,32419
경상남도 함안군,34008
경상남도 함양군,32815
경상남도 합천군,32441
경상북도 경산시,32768
경상북도 경주시,34597
경상북도 고령군,32335
경상북도 구미시,37729
경상북도 김천시,35221
경상북도 문경시,33378
경상북도 봉화군,32869
경상북도 상주시,33081
경상북도 성주군,32430
경상북도 안동시,34154
경상북도 영덕군,31230
경상북도 영양군,32071
경상북도 영주시,34151
경상북도 영천시,32993
경상북도 예천군,35307
경상북도 울릉군,34228
경상북도 울진군,34638
경상북도 의성군,31462
경상북도 청도군,32426
경상북도 청송군,32474
경상북도 칠곡군,34866
경상북도 포항시,74242
광주광역시 광산구,36399
광주광역시 남구,38077
광주광역시 동구,36689
광주광역시 북구,35448
광주광역시 서구,37956
대구광역시 군위군,32238
대구광역시 남구,31782
대구광역시 달서구,35269
대구광역시 달성군,35755
대구광역시 동구,34580
대구광역시 북구,34498
대구광역시 서구,30984
대구광역시 수성구,42660
대구광역시 중구,36943
대전광역시 대덕구,34172
대전광역시 동구,31707
대전광역시 서구,37460
대전광역시 유성구,42146
대전광역시 중구,34838
부산광역시 강서구,40296
부산광역시 금정구,34668
부산광역시 기장군,36349
부산광역시 남구,36021
부산광역시 동구,32284
부산광역시 동래구,37942
부산광역시 부산진구,34300
부산광역시 북구,34782
부산광역시 사상구,32280
부산광역시 사하구,33537
부산광역시 서구,33378
부산광역시 수영구,36057
부산광역시 연제구,36820
부산광역시 영도구,31815
부산광역시 중구,30858
부산광역시 해운대구,41269
서울특별시 강남구,58851
서울특별시 강동구,39747
서울특별시 강북구,33193
서울특별시 강서구,38424
서울특별시 관악구,34486
서울특별시 광진구,37134
서울특별시 구로구,35107
서울특별시 금천구,33384
서울특별시 노원구,37368
서울특별시 도봉구,35064
서울특별시 동대문구,34627
서울특별시 동작구,38740
서울특별시 마포구,41286
서울특별시 서대문구,37249
서울특별시 서초구,60102
서울특별시 성동구,42067
서울특별시 성북구,38741
서울특별시 송파구,46375
서울특별시 양천구,42646
서울특별시 영등포구,39630
서울특별시 용산구,62402
서울특별시 은평구,36430
서울특별시 종로구,41792
서울특별시 중구,38385
서울특별시 중랑구,34349
세종특별자치시,43023
울산광역시 남구,40824
울산광역시 동구,37923
울산광역시 북구,41893
울산광역시 울주군,37657
울산광역시 중구,39146
인천광역시 강화군,33018
인천광역시 계양구,34173
인천광역시 남동구,35277
인천광역시 동구,33068
인천광역시 미추홀구,33129
인천광역시 부평구,34856
인천광역시 서구,37521
인천광역시 연수구,42484
인천광역시 옹진군,33138
인천광역시 중구,36991
전라남도 강진군,32739
전라남도 고흥군,31239
전라남도 곡성군,32673
전라남도 광양시,38733
전라남도 구례군,32655
전라남도 나주시,35888
전라남도 담양군,34621
전라남도 목포시,34203
전라남도 무안군,35502
전라남도 보성군,31692
전라남도 순천시,37457
전라남도 신안군,31762
전라남도 여수시,37323
전라남도 영광군,34110
전라남도 영암군,33332
전라남도 완도군,32194
전라남도 장성군,33224
전라남도 장흥군,32941
전라남도 진도군,32289
전라남도 함평군,32864
전라남도 해남군,32280
전라남도 화순군,33733
전북특별자치도 고창군,33373
전북특별자치도 군산시,35191
전북특별자치도 김제시,32364
전북특별자치도 남원시,33484
전북특별자치도 무주군,32359
전북특별자치도 부안군,32285
전북특별자치도 순창군,32827
전북특별자치도 완주군,35202
전북특별자치도 익산시,34189
전북특별자치도 임실군,32550
전북특별자치도 장수군,32718
전북특별자치도 전주시,73447
전북특별자치도 정읍시,33385
전북특별자치도 진안군,32502
제주특별자치도 서귀포시,36174
제주특별자치도 제주시,35398
충청남도 계룡시,40162
충청남도 공주시,33347
충청남도 금산군,32440
충청남도 논산시,32927
충청남도 당진시,38080
충청남도 보령시,34103
충청남도 부여군,32160
충청남도 서산시,38260
충청남도 서천군,32132
충청남도 아산시,38622
충청남도 예산군,33803
충청남도 천안시,74542
충청남도 청양군,32718
충청남도 태안군,33446
충청남도 홍성군,35351
충청북도 괴산군,32055
충청북도 단양군,32754
충청북도 보은군,32679
충청북도 영동군,32934
충청북도 옥천군,32394
충청북도 음성군,33348
충청북도 제천시,34380
충청북도 증평군,34870
충청북도 진천군,35542
충청북도 청주시,149215
충청북도 충주시,34448
