시군구,예산
강원도 강릉시,69835073
강원도 고성군,23733660
강원도 동해시,20934202
강원도 삼척시,12064347
강원도 속초시,10657136
강원도 양구군,7314450
강원도 양양군,14111961
강원도 영월군,9062532
강원도 원주시,68870282
강원도 인제군,11139722
강원도 정선군,10053805
강원도 철원군,8132126
강원도 춘천시,42186889
강원도 태백시,9711324
강원도 평창군,12851438
강원도 홍천군,17702942
강원도 화천군,3178232
강원도 횡성군,22241268
경기도 가평군,12974981
경기도 고양시,109851483
경기도 과천시,14899193
경기도 광명시,52905961
경기도 광주시,38539733
경기도 구리시,14724276
경기도 군포시,33867973
경기도 김포시,59967886
경기도 남양주시,80093413
경기도 동두천시,19496679
경기도 부천시,119580142
경기도 성남시,176837945
경기도 수원시,211408908
경기도 시흥시,71846637
경기도 안산시,63901000
경기도 안성시,20320873
경기도 안양시,89743255
경기도 양주시,35962969
경기도 양평군,14715885
경기도 여주시,19116789
경기도 연천군,9579490
경기도 오산시,38502023
경기도 용인시,145918188
경기도 의왕시,28257190
경기도 의정부시,59246943
경기도 이천시,56742493
경기도 파주시,57780916
경기도 평택시,94658764
경기도 포천시,26490214
경기도 하남시,42736137
경기도 화성시,88207857
경상남도 거제시,36037460
경상남도 거창군,15460835
경상남도 고성군,7099060
경상남도 김해시,60802764
경상남도 남해군,5901998
경상남도 밀양시,17034170
경상남도 사천시,19153451
경상남도 산청군,7627228
경상남도 양산시,56907565
경상남도 의령군,3832359
경상남도 진주시,39344682
경상남도 창녕군,8184267
경상남도 창원시,110925428
경상남도 통영시,46558702
경상남도 하동군,5249018
경상남도 함안군,11305057
경상남도 함양군,10074149
경상남도 합천군,3496921
경상북도 경산시,32943081
경상북도 경주시,38502221
경상북도 고령군,6363606
경상북도 구미시,72205771
경상북도 군위군,4705689
경상북도 김천시,24979468
경상북도 문경시,19796842
경상북도 봉화군,7566687
경상북도 상주시,14984661
경상북도 성주군,14121431
경상북도 안동시,32741854
경상북도 영덕군,5826274
경상북도 영양군,2376659
경상북도 영주시,11226448
경상북도 영천시,14382974
경상북도 예천군,7467287
경상북도 울릉군,5645374
경상북도 울진군,15310092
경상북도 의성군,9667105
경상북도 청도군,6893287
경상북도 청송군,4084572
경상북도 칠곡군,12552015
경상북도 포항시,86069217
광주광역시 광산구,47488502
광주광역시 남구,22389990
광주광역시 동구,18046020
광주광역시 북구,25406460
광주광역시 서구,22164075
대구광역시 남구,24162741
대구광역시 달서구,51635482
대구광역시 달성군,29709131
대구광역시 동구,44045368
대구광역시 북구,52444373
대구광역시 서구,26617199
대구광역시 수성구,40231408
대구광역시 중구,21273715
대전광역시 대덕구,25002872
대전광역시 동구,30208850
대전광역시 서구,51595178
대전광역시 유성구,38211308
대전광역시 중구,30639161
부산광역시 강서구,12852818
부산광역시 금정구,25445190
부산광역시 기장군,13879400
부산광역시 남구,22884386
부산광역시 동구,16382844
부산광역시 동래구,19515426
부산광역시 부산진구,35049388
부산광역시 북구,21447230
부산광역시 사상구,22400091
부산광역시 사하구,29012064
부산광역시 서구,17815493
부산광역시 수영구,19950187
부산광역시 연제구,18649552
부산광역시 영도구,19763025
부산광역시 중구,13942644
부산광역시 해운대구,37832459
서울특별시 강남구,88142014
서울특별시 강동구,63878654
서울특별시 강북구,46626909
서울특별시 강서구,51510877
서울특별시 관악구,69185972
서울특별시 광진구,51323120
서울특별시 구로구,50929441
서울특별시 금천구,19166817
서울특별시 노원구,53180013
서울특별시 도봉구,48739747
서울특별시 동대문구,57655761
서울특별시 동작구,49984050
서울특별시 마포구,64895535
서울특별시 서대문구,42572763
서울특별시 서초구,65229658
서울특별시 성동구,55012195
서울특별시 성북구,55821493
서울특별시 송파구,82151465
서울특별시 양천구,50700345
서울특별시 영등포구,38797154
서울특별시 용산구,35567403
서울특별시 은평구,27310663
서울특별시 종로구,23892629
서울특별시 중구,22969703
서울특별시 중랑구,42140550
세종특별자치시,56157305
울산광역시 남구,34595691
울산광역시 동구,17838047
울산광역시 북구,20899392
울산광역시 울주군,28841082
울산광역시 중구,21364674
인천광역시 강화군,11067505
인천광역시 계양구,39126678
인천광역시 남동구,71132305
인천광역시 동구,11586394
인천광역시 미추홀구,58732164
인천광역시 부평구,60365931
인천광역시 서구,70685530
인천광역시 연수구,50820108
인천광역시 옹진군,9751421
인천광역시 중구,30397647
전라남도 강진군,6765806
전라남도 고흥군,15062110
전라남도 곡성군,5748279
전라남도 광양시,19566637
전라남도 구례군,2567232
전라남도 나주시,15898842
전라남도 담양군,6632166
전라남도 목포시,25962917
전라남도 무안군,11664907
전라남도 보성군,5776547
전라남도 순천시,42819716
전라남도 신안군,5940636
전라남도 여수시,27392902
전라남도 영광군,5503897
전라남도 영암군,3986628
전라남도 완도군,10773217
전라남도 장성군,7511082
전라남도 장흥군,7090879
전라남도 진도군,4015000
전라남도 함평군,4480257
전라남도 해남군,13554527
전라남도 화순군,3476509
전라북도 고창군,6160639
전라북도 군산시,55767606
전라북도 김제시,9686709
전라북도 남원시,14577919
전라북도 무주군,4710208
전라북도 부안군,8211091
전라북도 순창군,3879379
전라북도 완주군,8989008
전라북도 익산시,47657528
전라북도 임실군,5984546
전라북도 장수군,1359948
전라북도 전주시,105331346
전라북도 정읍시,18957811
전라북도 진안군,3847782
제주특별자치도 서귀포시,55746564
제주특별자치도 제주시,88860693
충청남도 계룡시,12910291
충청남도 공주시,3447113
충청남도 금산군,5164052
충청남도 논산시,10629856
충청남도 당진시,28925670
충청남도 보령시,15778939
충청남도 부여군,9456367
충청남도 서산시,31650300
충청남도 서천군,11335495
충청남도 아산시,32682494
충청남도 예산군,14556707
충청남도 천안시,110294660
충청남도 청양군,3304266
충청남도 태안군,17692468
충청남도 홍성군,17721763
충청북도 괴산군,2725871
충청북도 단양군,3611000
충청북도 보은군,6052041
충청북도 영동군,7484260
충청북도 옥천군,10967811
충청북도 음성군,17504265
충청북도 제천시,12500839
충청북도 증평군,6190415
충청북도 진천군,26323954
충청북도 청주시,95467000
충청북도 충주시,34068074
