시군구,외국인수
강원도 강릉시,4447
강원도 고성군,1888
강원도 동해시,1491
강원도 삼척시,1366
강원도 속초시,1956
강원도 양구군,744
강원도 양양군,624
강원도 영월군,652
강원도 원주시,7164
강원도 인제군,947
강원도 정선군,754
강원도 철원군,1393
강원도 춘천시,6889
강원도 태백시,634
강원도 평창군,1081
강원도 홍천군,1886
강원도 화천군,526
강원도 횡성군,1770
경기도 가평군,2108
경기도 고양시,21712
경기도 과천시,587
경기도 광명시,7026
경기도 광주시,18771
경기도 구리시,2697
경기도 군포시,11115
경기도 김포시,30716
경기도 남양주시,13836
경기도 동두천시,5118
경기도 부천시,46267
경기도 성남시,27968
경기도 수원시,61702
경기도 시흥시,61819
경기도 안산시,92525
경기도 안성시,21700
경기도 안양시,12220
경기도 양주시,11634
경기도 양평군,2949
경기도 여주시,5615
경기도 연천군,1591
경기도 오산시,18727
경기도 용인시,30246
경기도 의왕시,2104
경기도 의정부시,8777
경기도 이천시,11882
경기도 파주시,18900
경기도 평택시,39894
경기도 포천시,18848
경기도 하남시,4789
경기도 화성시,62376
경상남도 거제시,9561
경상남도 거창군,1427
경상남도 고성군,2039
경상남도 김해시,29308
경상남도 남해군,1473
경상남도 밀양시,4851
경상남도 사천시,4900
경상남도 산청군,1179
경상남도 양산시,10678
경상남도 의령군,1146
경상남도 진주시,8325
경상남도 창녕군,4179
경상남도 창원시,24086
경상남도 통영시,6079
경상남도 하동군,1078
경상남도 함안군,4734
경상남도 함양군,965
경상남도 합천군,1239
경상북도 경산시,17042
경상북도 경주시,18261
경상북도 고령군,2427
경상북도 구미시,8495
경상북도 군위군,772
경상북도 김천시,4546
경상북도 문경시,1579
경상북도 봉화군,823
경상북도 상주시,2657
경상북도 성주군,2553
경상북도 안동시,3133
경상북도 영덕군,1672
경상북도 영양군,558
경상북도 영주시,2166
경상북도 영천시,4754
경상북도 예천군,1339
경상북도 울릉군,223
경상북도 울진군,2352
경상북도 의성군,1198
경상북도 청도군,1681
경상북도 청송군,677
경상북도 칠곡군,5830
경상북도 포항시,10830
광주광역시 광산구,23229
광주광역시 남구,2722
광주광역시 동구,2527
광주광역시 북구,8280
광주광역시 서구,3355
대구광역시 남구,2556
대구광역시 달서구,15653
대구광역시 달성군,10079
대구광역시 동구,3708
대구광역시 북구,8460
대구광역시 서구,4018
대구광역시 수성구,2983
대구광역시 중구,978
대전광역시 대덕구,4433
대전광역시 동구,7862
대전광역시 서구,6923
대전광역시 유성구,10506
대전광역시 중구,3120
부산광역시 강서구,6687
부산광역시 금정구,5885
부산광역시 기장군,3386
부산광역시 남구,8069
부산광역시 동구,2591
부산광역시 동래구,1965
부산광역시 부산진구,4143
부산광역시 북구,3803
부산광역시 사상구,7081
부산광역시 사하구,6738
부산광역시 서구,2838
부산광역시 수영구,2330
부산광역시 연제구,1566
부산광역시 영도구,2813
부산광역시 중구,2560
부산광역시 해운대구,6171
서울특별시 강남구,10387
서울특별시 강동구,7967
서울특별시 강북구,6832
서울특별시 강서구,10504
서울특별시 관악구,24690
서울특별시 광진구,21279
서울특별시 구로구,45507
서울특별시 금천구,26608
서울특별시 노원구,7212
서울특별시 도봉구,4396
서울특별시 동대문구,23258
서울특별시 동작구,16652
서울특별시 마포구,14593
서울특별시 서대문구,18128
서울특별시 서초구,8470
서울특별시 성동구,11809
서울특별시 성북구,16620
서울특별시 송파구,11784
서울특별시 양천구,6764
서울특별시 영등포구,44514
서울특별시 용산구,17045
서울특별시 은평구,7425
서울특별시 종로구,12964
서울특별시 중구,12570
서울특별시 중랑구,8519
세종특별자치시 ,8874
울산광역시 남구,7166
울산광역시 동구,6337
울산광역시 북구,4442
울산광역시 울주군,10840
울산광역시 중구,3607
인천광역시 강화군,1589
인천광역시 계양구,6447
인천광역시 남동구,20285
인천광역시 동구,1669
인천광역시 미추홀구,17495
인천광역시 부평구,27176
인천광역시 서구,21324
인천광역시 연수구,24904
인천광역시 옹진군,449
인천광역시 중구,6659
전라남도 강진군,1031
전라남도 고흥군,2277
전라남도 곡성군,973
전라남도 광양시,3623
전라남도 구례군,592
전라남도 나주시,5168
전라남도 담양군,1832
전라남도 목포시,5944
전라남도 무안군,3245
전라남도 보성군,1107
전라남도 순천시,4752
전라남도 신안군,1550
전라남도 여수시,8694
전라남도 영광군,1879
전라남도 영암군,7531
전라남도 완도군,3847
전라남도 장성군,1995
전라남도 장흥군,1174
전라남도 진도군,2502
전라남도 함평군,1390
전라남도 해남군,2892
전라남도 화순군,1883
전라북도 고창군,2099
전라북도 군산시,10421
전라북도 김제시,3486
전라북도 남원시,2158
전라북도 무주군,743
전라북도 부안군,1742
전라북도 순창군,877
전라북도 완주군,5527
전라북도 익산시,8862
전라북도 임실군,843
전라북도 장수군,844
전라북도 전주시,15144
전라북도 정읍시,4740
전라북도 진안군,856
제주특별자치도 서귀포시,10276
제주특별자치도 제주시,21021
충청남도 계룡시,451
충청남도 공주시,3874
충청남도 금산군,3934
충청남도 논산시,7390
충청남도 당진시,10255
충청남도 보령시,4903
충청남도 부여군,2567
충청남도 서산시,7817
충청남도 서천군,2238
충청남도 아산시,34048
충청남도 예산군,3895
충청남도 천안시,35461
충청남도 청양군,1339
충청남도 태안군,2620
충청남도 홍성군,4496
충청북도 괴산군,1730
충청북도 단양군,509
충청북도 보은군,1193
충청북도 영동군,1651
충청북도 옥천군,1614
충청북도 음성군,15402
충청북도 제천시,3181
충청북도 증평군,1767
충청북도 진천군,10913
충청북도 청주시,25901
충청북도 충주시,8730
