시군구,10ℓ가격,20ℓ가격
강원도 강릉시,270,520
강원도 고성군,260,500
강원도 동해시,290,560
강원도 삼척시,150,290
강원도 속초시,200,400
강원도 양구군,210,400
강원도 양양군,170,340
강원도 영월군,180,350
강원도 원주시,320,680
강원도 인제군,150,300
강원도 정선군,150,280
강원도 철원군,190,400
강원도 춘천시,230,470
강원도 태백시,190,370
강원도 평창군,260,490
강원도 홍천군,230,450
강원도 화천군,120,230
강원도 횡성군,200,400
경기도 가평군,250,500
경기도 고양시,360,710
경기도 과천시,230,440
경기도 광명시,260,500
경기도 광주시,280,560
경기도 구리시,260,510
경기도 군포시,450,900
경기도 김포시,360,720
경기도 남양주시,370,740
경기도 동두천시,250,550
경기도 부천시,300,600
경기도 성남시,250,500
경기도 수원시,300,600
경기도 시흥시,260,530
경기도 안산시,250,500
경기도 안성시,220,440
경기도 안양시,300,550
경기도 양주시,300,600
경기도 양평군,280,560
경기도 여주시,230,460
경기도 연천군,290,560
경기도 오산시,260,480
경기도 용인시,330,660
경기도 의왕시,350,680
경기도 의정부시,340,670
경기도 이천시,330,640
경기도 파주시,410,800
경기도 평택시,250,500
경기도 포천시,280,560
경기도 하남시,260,500
경기도 화성시,300,600
경상남도 거제시,350,650
경상남도 거창군,200,400
경상남도 고성군,200,400
경상남도 김해시,400,800
경상남도 남해군,200,400
경상남도 밀양시,370,700
경상남도 사천시,250,500
경상남도 산청군,230,450
경상남도 양산시,500,950
경상남도 의령군,200,400
경상남도 진주시,300,590
경상남도 창녕군,160,320
경상남도 창원시,350,700
경상남도 통영시,260,500
경상남도 하동군,200,400
경상남도 함안군,200,400
경상남도 함양군,200,400
경상남도 합천군,170,350
경상북도 경산시,220,430
경상북도 경주시,180,350
경상북도 고령군,180,360
경상북도 구미시,300,600
경상북도 군위군,130,240
경상북도 김천시,180,350
경상북도 문경시,140,270
경상북도 봉화군,150,250
경상북도 상주시,160,290
경상북도 성주군,150,300
경상북도 안동시,150,300
경상북도 영덕군,130,250
경상북도 영양군,100,200
경상북도 영주시,210,390
경상북도 영천시,180,360
경상북도 예천군,300,600
경상북도 울릉군,170,300
경상북도 울진군,210,400
경상북도 의성군,170,340
경상북도 청도군,150,290
경상북도 청송군,70,140
경상북도 칠곡군,180,350
경상북도 포항시,450,900
광주광역시 광산구,380,740
광주광역시 남구,380,740
광주광역시 동구,380,740
광주광역시 북구,380,740
광주광역시 서구,380,740
대구광역시 남구,290,560
대구광역시 달서구,290,560
대구광역시 달성군,290,560
대구광역시 동구,290,560
대구광역시 북구,290,560
대구광역시 서구,290,560
대구광역시 수성구,290,560
대구광역시 중구,290,560
대전광역시 대덕구,330,660
대전광역시 동구,330,660
대전광역시 서구,330,660
대전광역시 유성구,330,660
대전광역시 중구,330,660
부산광역시 강서구,270,510
부산광역시 금정구,430,850
부산광역시 기장군,300,590
부산광역시 남구,340,680
부산광역시 동구,430,850
부산광역시 동래구,430,850
부산광역시 부산진구,300,850
부산광역시 북구,340,680
부산광역시 사상구,430,850
부산광역시 사하구,430,850
부산광역시 서구,430,850
부산광역시 수영구,430,850
부산광역시 연제구,390,770
부산광역시 영도구,430,850
부산광역시 중구,430,850
부산광역시 해운대구,430,850
서울특별시 강남구,250,490
서울특별시 강동구,250,490
서울특별시 강북구,250,490
서울특별시 강서구,250,490
서울특별시 관악구,250,490
서울특별시 광진구,250,490
서울특별시 구로구,250,490
서울특별시 금천구,250,490
서울특별시 노원구,250,490
서울특별시 도봉구,250,490
서울특별시 동대문구,250,490
서울특별시 동작구,250,490
서울특별시 마포구,250,490
서울특별시 서대문구,250,490
서울특별시 서초구,250,490
서울특별시 성동구,250,490
서울특별시 성북구,250,490
서울특별시 송파구,250,490
서울특별시 양천구,250,490
서울특별시 영등포구,250,490
서울특별시 용산구,250,490
서울특별시 은평구,250,490
서울특별시 종로구,250,490
서울특별시 중구,250,490
서울특별시 중랑구,250,490
세종특별자치시 세종특별자치시,270,540
울산광역시 남구,310,600
울산광역시 동구,310,600
울산광역시 북구,310,600
울산광역시 울주군,310,600
울산광역시 중구,310,600
인천광역시 강화군,310,620
인천광역시 계양구,390,750
인천광역시 남동구,390,750
인천광역시 동구,310,620
인천광역시 미추홀구,310,620
인천광역시 부평구,390,750
인천광역시 서구,310,620
인천광역시 연수구,310,620
인천광역시 옹진군,310,620
인천광역시 중구,310,620
전라남도 강진군,160,290
전라남도 고흥군,140,260
전라남도 곡성군,310,530
전라남도 광양시,260,530
전라남도 구례군,110,220
전라남도 나주시,130,250
전라남도 담양군,180,310
전라남도 목포시,210,400
전라남도 무안군,170,320
전라남도 보성군,140,260
전라남도 순천시,290,580
전라남도 신안군,120,220
전라남도 여수시,250,500
전라남도 영광군,148,277
전라남도 영암군,230,460
전라남도 완도군,160,290
전라남도 장성군,140,280
전라남도 장흥군,240,460
전라남도 진도군,140,260
전라남도 함평군,120,220
전라남도 해남군,210,430
전라남도 화순군,190,380
전라북도 군산시,300,500
전라북도 김제시,190,360
전라북도 남원시,160,280
전라북도 무주군,170,330
전라북도 부안군,350,700
전라북도 순창군,190,380
전라북도 완주군,220,420
전라북도 익산시,270,540
전라북도 임실군,150,320
전라북도 장수군,180,360
전라북도 장수군,180,360
전라북도 전주시,230,460
전라북도 정읍시,170,310
전라북도 진안군,100,200
제주특별자치도 서귀포시,240,700
제주특별자치도 제주시,240,700
충청남도 계룡시,240,470
충청남도 공주시,170,320
충청남도 금산군,110,210
충청남도 논산시,240,470
충청남도 당진시,260,510
충청남도 보령시,200,380
충청남도 부여군,200,400
충청남도 서산시,230,460
충청남도 서천군,150,300
충청남도 아산시,180,350
충청남도 예산군,200,400
충청남도 천안시,250,500
충청남도 청양군,200,400
충청남도 태안군,180,350
충청남도 홍성군,200,400
충청북도 괴산군,140,280
충청북도 단양군,200,300
충청북도 보은군,140,270
충청북도 영동군,190,370
충청북도 옥천군,140,270
충청북도 음성군,340,640
충청북도 제천시,200,300
충청북도 증평군,140,280
충청북도 진천군,340,640
충청북도 청주시,310,600
충청북도 충주시,250,470
