시군구,청결유지책임제이행실적
 강원도 강릉시 ,14
 강원도 고성군 ,1
 강원도 동해시 ,1
 강원도 삼척시 ,0
 강원도 속초시 ,2
 강원도 양구군 ,5
 강원도 양양군 ,0
 강원도 영월군 ,2
 강원도 원주시 ,11
 강원도 인제군 ,6
 강원도 정선군 ,1
 강원도 철원군 ,0
 강원도 춘천시 ,4
 강원도 태백시 ,0
 강원도 평창군 ,7
 강원도 홍천군 ,0
 강원도 화천군 ,3
 강원도 횡성군 ,9
 경기도 가평군 ,7
 경기도 고양시 ,0
 경기도 과천시 ,0
 경기도 광명시 ,0
 경기도 광주시 ,3
 경기도 구리시 ,15
 경기도 군포시 ,0
 경기도 김포시 ,62
 경기도 남양주시 ,22
 경기도 동두천시 ,0
 경기도 부천시 ,14
 경기도 성남시 ,18
 경기도 수원시 ,18
 경기도 시흥시 ,39
 경기도 안산시 ,0
 경기도 안성시 ,18
 경기도 안양시 ,2
 경기도 양주시 ,0
 경기도 양평군 ,8
 경기도 여주시 ,6
 경기도 연천군 ,0
 경기도 오산시 ,0
 경기도 용인시 ,78
 경기도 의왕시 ,4
 경기도 의정부시 ,1
 경기도 이천시 ,5
 경기도 파주시 ,51
 경기도 평택시 ,335
 경기도 포천시 ,3
 경기도 하남시 ,43
 경기도 화성시 ,0
 경상남도 거제시 ,1
 경상남도 거창군 ,0
 경상남도 고성군 ,0
 경상남도 김해시 ,10
 경상남도 남해군 ,1
 경상남도 밀양시 ,0
 경상남도 사천시 ,0
 경상남도 산청군 ,0
 경상남도 양산시 ,6
 경상남도 의령군 ,1
 경상남도 진주시 ,0
 경상남도 창녕군 ,4
 경상남도 창원시 ,0
 경상남도 통영시 ,0
 경상남도 하동군 ,0
 경상남도 함안군 ,3
 경상남도 함양군 ,0
 경상남도 합천군 ,1
 경상북도 경산시 ,8
 경상북도 경주시 ,0
 경상북도 고령군 ,0
 경상북도 구미시 ,0
 경상북도 군위군 ,5
 경상북도 김천시 ,0
 경상북도 문경시 ,0
 경상북도 봉화군 ,1
 경상북도 상주시 ,0
 경상북도 성주군 ,0
 경상북도 안동시 ,0
 경상북도 영덕군 ,0
 경상북도 영양군 ,0
 경상북도 영주시 ,0
 경상북도 영천시 ,0
 경상북도 예천군 ,0
 경상북도 울릉군 ,6
 경상북도 울진군 ,0
 경상북도 의성군 ,0
 경상북도 청도군 ,0
 경상북도 청송군 ,0
 경상북도 칠곡군 ,0
 경상북도 포항시 ,0
 광주광역시 광산구 ,42
 광주광역시 남구 ,11
 광주광역시 동구 ,22
 광주광역시 북구 ,0
 광주광역시 서구 ,14
 대구광역시 남구 ,8
 대구광역시 달서구 ,1
 대구광역시 달성군 ,7
 대구광역시 동구 ,8
 대구광역시 북구 ,9
 대구광역시 서구 ,0
 대구광역시 수성구 ,2
 대구광역시 중구 ,5
 대전광역시 대덕구 ,0
 대전광역시 동구 ,7
 대전광역시 서구 ,2
 대전광역시 유성구 ,0
 대전광역시 중구 ,2
 부산광역시 강서구 ,71
 부산광역시 금정구 ,15
 부산광역시 기장군 ,14
 부산광역시 남구 ,6
 부산광역시 동구 ,10
 부산광역시 동래구 ,6
 부산광역시 부산진구 ,35
 부산광역시 북구 ,8
 부산광역시 사상구 ,1
 부산광역시 사하구 ,10
 부산광역시 서구 ,17
 부산광역시 수영구 ,1
 부산광역시 연제구 ,21
 부산광역시 영도구 ,2
 부산광역시 중구 ,2
 부산광역시 해운대구 ,4
 서울특별시 강남구 ,0
 서울특별시 강동구 ,0
 서울특별시 강북구 ,0
 서울특별시 강서구 ,7
 서울특별시 관악구 ,1
 서울특별시 광진구 ,3
 서울특별시 구로구 ,0
 서울특별시 금천구 ,0
 서울특별시 노원구 ,0
 서울특별시 도봉구 ,7
 서울특별시 동대문구 ,0
 서울특별시 동작구 ,0
 서울특별시 마포구 ,4
 서울특별시 서대문구 ,0
 서울특별시 서초구 ,0
 서울특별시 성동구 ,0
 서울특별시 성북구 ,2
 서울특별시 송파구 ,17
 서울특별시 양천구 ,5
 서울특별시 영등포구 ,0
 서울특별시 용산구 ,11
 서울특별시 은평구 ,1
 서울특별시 종로구 ,16
 서울특별시 중구 ,0
 서울특별시 중랑구 ,0
 세종특별자치시 ,2
 울산광역시 남구 ,0
 울산광역시 동구 ,0
 울산광역시 북구 ,14
 울산광역시 울주군 ,8
 울산광역시 중구 ,22
 인천광역시 강화군 ,9
 인천광역시 계양구 ,0
 인천광역시 남동구 ,10
 인천광역시 동구 ,0
 인천광역시 미추홀구 ,6
 인천광역시 부평구 ,0
 인천광역시 서구 ,27
 인천광역시 연수구 ,5
 인천광역시 옹진군 ,3
 인천광역시 중구 ,17
 전라남도 강진군 ,3
 전라남도 고흥군 ,0
 전라남도 곡성군 ,0
 전라남도 광양시 ,1
 전라남도 구례군 ,0
 전라남도 나주시 ,3
 전라남도 담양군 ,1
 전라남도 목포시 ,0
 전라남도 무안군 ,2
 전라남도 보성군 ,0
 전라남도 순천시 ,20
 전라남도 신안군 ,0
 전라남도 여수시 ,0
 전라남도 영광군 ,1
 전라남도 영암군 ,16
 전라남도 완도군 ,0
 전라남도 장성군 ,0
 전라남도 장흥군 ,0
 전라남도 진도군 ,0
 전라남도 함평군 ,0
 전라남도 해남군 ,0
 전라남도 화순군 ,0
 전라북도 고창군 ,3
 전라북도 군산시 ,37
 전라북도 김제시 ,2
 전라북도 남원시 ,1
 전라북도 무주군 ,0
 전라북도 부안군 ,2
 전라북도 순창군 ,2
 전라북도 완주군 ,1
 전라북도 익산시 ,7
 전라북도 임실군 ,2
 전라북도 장수군 ,5
 전라북도 전주시 ,1
 전라북도 정읍시 ,0
 전라북도 진안군 ,1
 제주특별자치도 서귀포시 ,4
 제주특별자치도 제주시 ,3
 충청남도 계룡시 ,0
 충청남도 공주시 ,0
 충청남도 금산군 ,2
 충청남도 논산시 ,1
 충청남도 당진시 ,5
 충청남도 보령시 ,0
 충청남도 부여군 ,0
 충청남도 서산시 ,3
 충청남도 서천군 ,5
 충청남도 아산시 ,11
 충청남도 예산군 ,0
 충청남도 천안시 ,0
 충청남도 청양군 ,3
 충청남도 태안군 ,12
 충청남도 홍성군 ,4
 충청북도 괴산군 ,1
 충청북도 단양군 ,0
 충청북도 보은군 ,0
 충청북도 영동군 ,0
 충청북도 옥천군 ,0
 충청북도 음성군 ,0
 충청북도 제천시 ,0
 충청북도 증평군 ,11
 충청북도 진천군 ,10
 충청북도 청주시 ,90
 충청북도 충주시 ,6
